cell_id,sector_name,latitude,longitude,band_blue,band_green,band_red,band_nir,band_swir1,band_swir2,ndvi,iron_oxide_index,clay_alteration_index,ferrous_mineral_ratio,lst_celsius,soil_moisture_pct,rainfall_mm,elevation_m,slope_deg,fault_distance_km,ore_grade_pct,is_manganese_reserve
Zone-M001,Balaghat-Bharweli Sector (MP),21.87490802376947,80.32454042850495,0.04925664644193098,0.09114490710817308,0.10308216105792803,0.3397332839503473,0.35331076036200326,0.2067644652885281,0.5344226158719032,2.0927138932520837,1.7087513133248848,0.6086064170042581,42.59380576662708,20.212504911196085,1068.0138491602052,406.8495197055412,13.022833789342258,6.1641102697339125,25.61563775733231,1
Zone-M002,Balaghat-Bharweli Sector (MP),21.990142861281985,80.28402409158603,0.0670950473689179,0.08875091265778386,0.09363000891980927,0.3371469250821094,0.3661614033977942,0.3062130825570452,0.565295705608764,1.395462364645688,1.1957693138739995,0.908245490410388,38.41313294027857,29.20389005540004,1126.7334584148557,359.4324376297407,7.6660936343277255,10.055870797322553,22.756703689183144,0
Zone-M003,Balaghat-Bharweli Sector (MP),21.94639878836228,80.22738190407159,0.08364729179382041,0.06153852394838614,0.17120133284378547,0.28322562197098333,0.2506342746952176,0.35811633015444116,0.24651716061979623,2.0466805618191133,0.6998663666657222,1.2644162037533688,35.59830446016262,18.40851002632493,1121.0262914834948,454.33776102799146,15.086119906389643,7.379897938689529,24.239191621983263,0
Zone-M004,Balaghat-Bharweli Sector (MP),21.919731696839406,80.35344875492675,0.07661124432047806,0.08047486965756938,0.09578411644413137,0.3801168593297668,0.3303891118309812,0.13960698320170067,0.5974607321670847,1.2502455357325797,2.366548848095934,0.36727288596189395,39.06238743995232,17.254288162510147,1158.3861628293466,381.50510256467066,3.0935225691230146,8.979033506270863,23.3402056157802,0
Zone-M005,Balaghat-Bharweli Sector (MP),21.83120372808849,80.32118279313848,0.08032805739307249,0.08281173712715142,0.09785238500420446,0.19941321951872856,0.3173774063831723,0.32970873770810416,0.3416489877075616,1.2181443201229842,0.9625963994552997,1.6533862956404601,35.82821712463794,21.699602725840087,1098.5083397352205,369.9334858760789,12.975249297383074,9.197458533793204,23.656928907148785,0
Zone-M006,Balaghat-Bharweli Sector (MP),21.83119890406724,80.19065423483623,0.07293916833553588,0.08392936685381402,0.1469767505579788,0.18471470376710472,0.3684368700453079,0.26117601243730976,0.11377392737472376,2.0150316884636648,1.410678782971927,1.4139350748792239,34.64433404328921,21.90521867266601,973.0912172983682,370.5574303383572,13.155561746836025,12.082083027320868,24.452550004740697,0
Zone-M007,Balaghat-Bharweli Sector (MP),21.81161672243364,80.37773179612347,0.07461382822589263,0.09481034215363993,0.10946953702574397,0.36895382509940605,0.37839633262305905,0.33214085405739285,0.5423726478330636,1.4671284465646757,1.1392612162563338,0.9002209253338954,32.75958300967932,25.771125226047204,1085.378089312929,415.73540498819483,16.77285426322082,15.0426197819192,22.769271054501807,0
Zone-M008,Balaghat-Bharweli Sector (MP),21.973235229154987,80.35563431073079,0.08245978257826596,0.0920161528036127,0.14886912306271627,0.26390641711586543,0.17965798103509162,0.22647782509157746,0.2786914537424534,1.8053324066069856,0.7932661296809815,0.858171504107992,30.943076120180688,15.625431196599816,1183.5054773715053,383.09179392909306,17.94258819095094,12.090998661891492,22.454959897917476,0
Zone-M009,Balaghat-Bharweli Sector (MP),21.920223002348642,80.38744997832299,0.052483400442959294,0.09647430556760667,0.06985022812909919,0.3630166037344676,0.3303444829775559,0.3092132561603325,0.6772653314136078,1.330875984855982,1.0683352283934382,0.8517858444862341,35.648063090803284,23.65952593059829,1096.2099136605516,363.1952927526965,10.494947969222757,12.682189595534052,23.05252934203737,0
Zone-M010,Balaghat-Bharweli Sector (MP),21.94161451555921,80.3314298770971,0.06447124818215702,0.10589299569252769,0.12429670866686235,0.3612794454664355,0.20324998852311782,0.15092167434464313,0.4880434237532477,1.9279102586229033,1.3467160544676102,0.41774105473600676,38.20629740374366,22.295300508726847,1100.2893277988362,461.07879085889425,12.90004011587354,7.782753688187202,24.155219699666187,0
