cell_id,sector_name,latitude,longitude,band_blue,band_green,band_red,band_nir,band_swir1,band_swir2,ndvi,iron_oxide_index,clay_alteration_index,ferrous_mineral_ratio,lst_celsius,soil_moisture_pct,rainfall_mm,elevation_m,slope_deg,fault_distance_km,ore_grade_pct,is_manganese_reserve,prithvi_emb_01,prithvi_emb_02,prithvi_emb_03,prithvi_emb_04,prithvi_emb_05,prithvi_emb_06,prithvi_emb_07,prithvi_emb_08,prithvi_emb_09,prithvi_emb_10,prithvi_emb_11,prithvi_emb_12,prithvi_emb_13,prithvi_emb_14,prithvi_emb_15,prithvi_emb_16,prithvi_emb_17,prithvi_emb_18,prithvi_emb_19,prithvi_emb_20,prithvi_emb_21,prithvi_emb_22,prithvi_emb_23,prithvi_emb_24,prithvi_emb_25,prithvi_emb_26,prithvi_emb_27,prithvi_emb_28,prithvi_emb_29,prithvi_emb_30,prithvi_emb_31,prithvi_emb_32
Zone-M001,Balaghat-Bharweli Sector (MP),21.87490802376947,80.32454042850495,0.0492566464419309,0.091144907108173,0.103082161057928,0.3397332839503473,0.3533107603620032,0.2067644652885281,0.5344226158719032,2.092713893252084,1.7087513133248848,0.6086064170042581,42.59380576662708,20.212504911196085,1068.0138491602052,406.8495197055412,13.022833789342258,6.1641102697339125,25.61563775733231,1,0.025135888,-0.4839214,0.83787465,1.1338009,-0.37897646,-0.344723,-0.7245221,0.6307327,0.45134738,-0.50699794,2.1057088,0.7407795,-0.20395571,-1.2396322,0.085267164,-0.5315778,-0.11522535,0.3689444,-0.24320681,-0.41926527,1.2702298,-2.1805818,0.1755494,1.8782002,0.40561882,-1.4578192,-0.7514893,-1.1908556,1.2550006,1.0818398,0.29269463,-1.9659743
Zone-M002,Balaghat-Bharweli Sector (MP),21.990142861281985,80.28402409158603,0.0670950473689179,0.0887509126577838,0.0936300089198092,0.3371469250821094,0.3661614033977942,0.3062130825570452,0.565295705608764,1.395462364645688,1.1957693138739995,0.908245490410388,38.41313294027857,29.20389005540004,1126.7334584148557,359.4324376297407,7.666093634327725,10.055870797322552,22.756703689183144,0,-0.1353623,-0.51792264,0.9350022,1.1025673,-0.38467818,-0.6578666,-0.7031599,0.58296835,0.58091533,-0.24392198,1.9150809,0.75024915,-0.16673885,-1.3180716,0.25863275,-0.5771425,0.12553069,0.35915813,-0.32266095,-0.1539937,1.2288057,-2.2076626,0.32154417,1.8406823,0.33009976,-1.5197009,-0.8911498,-1.0735437,1.1304971,1.1632547,0.29421398,-2.0456264
Zone-M003,Balaghat-Bharweli Sector (MP),21.94639878836228,80.22738190407159,0.0836472917938204,0.0615385239483861,0.1712013328437854,0.2832256219709833,0.2506342746952176,0.3581163301544411,0.2465171606197962,2.0466805618191133,0.6998663666657222,1.2644162037533688,35.59830446016262,18.40851002632493,1121.0262914834948,454.33776102799146,15.086119906389644,7.379897938689529,24.239191621983263,0,-0.3580979,-0.6265851,0.9785429,1.3006747,-0.34754595,-0.5503907,-0.5522488,0.69604313,0.56920344,-0.05381313,1.7775897,0.6739815,-0.32867217,-1.2329713,0.31158775,-0.43616185,0.20059724,0.4549746,-0.3267273,-0.21313713,1.4528998,-2.3305008,0.441486,1.7399111,0.293196,-1.7399538,-0.90932524,-0.9090758,0.70694554,1.0191699,0.3414019,-2.042998
Zone-M004,Balaghat-Bharweli Sector (MP),21.919731696839406,80.35344875492675,0.076611244320478,0.0804748696575693,0.0957841164441313,0.3801168593297668,0.3303891118309812,0.1396069832017006,0.5974607321670847,1.2502455357325797,2.366548848095934,0.3672728859618939,39.06238743995232,17.254288162510147,1158.3861628293466,381.50510256467066,3.0935225691230146,8.979033506270863,23.3402056157802,0,0.27465633,-0.42787823,0.65911907,1.124841,-0.33792198,-0.03661233,-0.77981263,0.65763295,0.40468022,-0.6392862,2.0949705,0.5772543,-0.18964288,-1.2485042,-0.03614245,-0.39008573,-0.25640774,0.47870225,-0.14991194,-0.6975309,1.4002289,-2.2442563,0.06095895,1.9521875,0.5379179,-1.4312778,-0.48365453,-1.3026104,1.2391169,0.86794806,0.22359894,-1.902278
Zone-M005,Balaghat-Bharweli Sector (MP),21.83120372808849,80.32118279313848,0.0803280573930724,0.0828117371271514,0.0978523850042044,0.1994132195187285,0.3173774063831723,0.3297087377081041,0.3416489877075616,1.2181443201229842,0.9625963994552996,1.65338629564046,35.82821712463794,21.699602725840087,1098.5083397352205,369.9334858760789,12.975249297383074,9.197458533793204,23.656928907148785,0,-0.54868054,-0.7630794,1.2744229,1.1007968,-0.32450113,-0.76373804,-0.4905643,0.58823955,0.43381545,-0.074798696,1.8589538,0.802482,-0.23246107,-1.1384616,0.29209375,-0.5774288,0.3111579,0.3578906,-0.3893815,-0.011585395,1.0761776,-2.162988,0.4770109,1.7559785,0.014469035,-1.6796676,-1.1294011,-0.80925924,1.0166063,1.303198,0.37954563,-1.9468428
Zone-M006,Balaghat-Bharweli Sector (MP),21.83119890406724,80.19065423483623,0.0729391683355358,0.083929366853814,0.1469767505579788,0.1847147037671047,0.3684368700453079,0.2611760124373097,0.1137739273747237,2.0150316884636648,1.410678782971927,1.413935074879224,34.64433404328921,21.90521867266601,973.0912172983682,370.5574303383572,13.155561746836025,12.082083027320868,24.452550004740697,0,-0.5225415,-0.56466335,1.353008,1.2432775,-0.28097656,-0.4721616,-0.65263426,0.665871,0.27096027,-0.26813093,2.1223452,0.77198356,-0.3222772,-1.0068502,0.16202511,-0.62607765,-0.025298959,0.25861397,-0.2619767,-0.29782674,0.91279733,-2.1502707,0.3124028,1.7733105,0.17204691,-1.6840987,-0.9007171,-0.91001385,1.07076,1.2388567,0.5365639,-1.9183073
Zone-M007,Balaghat-Bharweli Sector (MP),21.81161672243364,80.37773179612347,0.0746138282258926,0.0948103421536399,0.1094695370257439,0.368953825099406,0.378396332623059,0.3321408540573928,0.5423726478330636,1.4671284465646757,1.1392612162563338,0.9002209253338954,32.75958300967932,25.771125226047204,1085.378089312929,415.7354049881948,16.77285426322082,15.0426197819192,22.769271054501807,0,-0.10502227,-0.44695446,0.8964338,1.1267525,-0.3889381,-0.68186,-0.7386704,0.5807618,0.60988545,-0.19005007,1.884144,0.7403124,-0.15676852,-1.326084,0.2799561,-0.5775331,0.11942057,0.36447543,-0.31012565,-0.1566222,1.2476501,-2.2596273,0.3059046,1.820137,0.39770415,-1.5321631,-0.8454073,-1.0750587,1.0718385,1.1221136,0.2982619,-2.0748665
Zone-M008,Balaghat-Bharweli Sector (MP),21.973235229154987,80.35563431073079,0.0824597825782659,0.0920161528036127,0.1488691230627162,0.2639064171158654,0.1796579810350916,0.2264778250915774,0.2786914537424534,1.8053324066069856,0.7932661296809815,0.858171504107992,30.943076120180688,15.625431196599816,1183.505477371505,383.09179392909306,17.94258819095094,12.090998661891492,22.45495989791748,0,-0.17750767,-0.86446804,0.80348045,1.251511,-0.39815655,-0.0628512,-0.39631003,0.713509,0.32498562,-0.35683772,2.0161674,0.6985174,-0.413322,-1.066697,0.009002983,-0.23982075,0.039678577,0.6270929,-0.23423667,-0.50718135,1.6292453,-2.3651419,0.26114374,1.7961093,0.23509946,-1.652184,-0.8994493,-0.99504817,0.9039098,0.9341611,0.24192792,-1.8563299
Zone-M009,Balaghat-Bharweli Sector (MP),21.92022300234864,80.38744997832299,0.0524834004429592,0.0964743055676066,0.0698502281290991,0.3630166037344676,0.3303444829775559,0.3092132561603325,0.6772653314136078,1.330875984855982,1.0683352283934382,0.8517858444862341,35.648063090803284,23.65952593059829,1096.2099136605516,363.1952927526965,10.494947969222755,12.682189595534052,23.05252934203737,0,-0.064831585,-0.60979474,0.799259,1.0243491,-0.42720926,-0.71571195,-0.6247144,0.5516429,0.6392092,-0.2542177,1.8685355,0.8053603,-0.1430979,-1.3688536,0.2550644,-0.5423866,0.21802135,0.41010702,-0.36468473,-0.07134249,1.3426179,-2.1813014,0.33774474,1.8301327,0.29055068,-1.4624213,-0.9791313,-1.0753903,1.1783926,1.1875625,0.17921731,-2.032678
Zone-M010,Balaghat-Bharweli Sector (MP),21.94161451555921,80.3314298770971,0.064471248182157,0.1058929956925276,0.1242967086668623,0.3612794454664355,0.2032499885231178,0.1509216743446431,0.4880434237532477,1.9279102586229035,1.3467160544676102,0.4177410547360067,38.20629740374366,22.295300508726847,1100.2893277988362,461.0787908588943,12.90004011587354,7.782753688187202,24.155219699666187,0,0.23169918,-0.67288536,0.5080375,1.1440122,-0.41389707,0.067377776,-0.533601,0.6815395,0.34010556,-0.6140329,2.1118686,0.6841027,-0.3125173,-1.1569725,-0.10486722,-0.23831815,-0.17665134,0.6162425,-0.17463349,-0.69784576,1.6968051,-2.3022783,0.05922119,1.8641964,0.4362956,-1.4401803,-0.67595226,-1.2007787,1.1431481,0.8316654,0.11932939,-1.8202347
